worker_id,city,zone,date,day_of_week,hours_worked,orders_completed,rainfall_mm,aqi,temperature_c,humidity_pct,earnings,target_earnings
GK-11664,Delhi,Karol Bagh,2025-12-25,3,7.7,17,0.0,220,23.4,60.0,909.61,909.61
GK-10814,Delhi,Karol Bagh,2026-01-27,1,9.2,14,0.0,235,33.2,65.5,1024.65,1024.65
GK-10974,Delhi,Chandni Chowk,2025-10-31,4,10.1,28,0.0,122,36.4,32.3,1346.39,1346.39
GK-10884,Mumbai,Goregaon,2026-01-08,3,10.5,26,5.0,142,27.6,31.7,1352.9,1352.9
GK-10564,Chennai,Guindy,2025-12-10,2,11.7,34,0.0,53,23.4,50.9,1160.56,1160.56
GK-11996,Chennai,Chromepet,2026-01-11,6,5.3,8,0.0,89,27.4,43.2,777.71,777.71
GK-11797,Delhi,Nehru Place,2026-01-02,4,7.6,17,0.0,336,39.4,60.3,682.67,682.67
GK-10397,Delhi,Dwarka,2026-01-08,3,8.2,21,0.0,259,24.5,45.2,1066.58,1066.58
GK-11488,Delhi,Janakpuri,2026-02-04,2,7.6,13,0.0,181,17.0,34.5,992.84,992.84
GK-11662,Mumbai,Powai,2026-01-21,2,13.1,30,0.0,147,33.0,50.0,1419.92,1419.92
GK-11292,Mumbai,Thane,2026-01-06,1,10.5,22,8.0,89,20.7,55.1,922.45,922.45
GK-11335,Mumbai,Kurla,2025-11-26,2,5.6,14,0.0,66,28.4,63.6,467.17,467.17
GK-10139,Mumbai,Goregaon,2025-11-15,5,9.5,26,0.0,159,32.6,49.0,1451.04,1451.04
GK-10146,Delhi,Rohini,2026-01-22,3,11.5,22,0.0,344,19.2,51.3,828.32,828.32
GK-11236,Delhi,Nehru Place,2026-03-03,1,6.2,12,0.0,91,23.0,39.3,583.43,583.43
GK-11118,Delhi,Saket,2025-11-19,2,6.9,12,0.0,381,24.3,62.1,948.06,948.06
GK-10448,Mumbai,Powai,2025-11-08,5,11.6,31,0.0,153,35.6,30.2,1601.73,1601.73
GK-11207,Mumbai,Navi Mumbai,2025-12-18,3,6.4,14,0.0,161,24.3,41.7,758.38,758.38
GK-11552,Mumbai,Andheri,2026-02-25,2,10.4,25,0.0,139,27.3,40.7,1150.26,1150.26
GK-11225,Mumbai,Thane,2026-01-22,3,8.4,21,0.0,88,23.8,64.7,1688.93,1688.93
GK-11531,Chennai,Anna Nagar,2025-10-16,3,10.1,19,20.1,209,31.4,76.6,816.78,816.78
GK-10341,Delhi,Dwarka,2026-01-13,1,12.0,19,0.0,486,35.6,35.6,1133.54,1133.54
GK-11122,Mumbai,Powai,2026-02-24,1,9.1,18,0.0,90,28.0,42.5,1251.15,1251.15
GK-10113,Delhi,Nehru Place,2025-11-07,4,13.3,26,0.0,388,29.3,37.1,1300.82,1300.82
GK-10499,Mumbai,Goregaon,2025-11-29,5,5.9,10,0.0,202,35.3,60.8,913.06,913.06
GK-11224,Chennai,Sholinganallur,2025-12-14,6,12.7,24,36.2,67,21.8,85.7,1902.97,1902.97
GK-10112,Mumbai,Kurla,2025-11-03,0,11.2,19,0.0,95,32.5,30.0,1278.2,1278.2
GK-10594,Mumbai,Malad,2025-12-19,4,9.5,22,0.0,97,22.3,33.6,1129.04,1129.04
GK-10124,Mumbai,Andheri,2026-02-09,0,5.4,8,0.0,91,24.3,69.3,811.29,811.29
GK-11083,Mumbai,Powai,2026-01-05,0,8.0,19,6.9,50,20.6,36.9,878.39,878.39
GK-11164,Chennai,Adyar,2026-03-18,2,10.0,20,0.0,189,32.4,66.5,798.95,798.95
GK-11339,Mumbai,Navi Mumbai,2026-03-08,6,14.0,23,0.0,141,35.0,32.6,2674.82,2674.82
GK-10638,Delhi,Lajpat Nagar,2026-03-18,2,8.6,23,0.0,20,28.2,65.6,1210.79,1210.79
GK-11989,Mumbai,Bandra,2026-02-09,0,12.5,32,0.0,20,32.7,39.9,1621.46,1621.46
GK-10433,Delhi,Rohini,2026-01-07,2,7.7,17,0.0,251,36.4,38.4,781.71,781.71
GK-10873,Delhi,Connaught Place,2026-02-23,0,6.4,19,0.0,111,39.3,36.1,1141.83,1141.83
GK-10868,Delhi,Janakpuri,2025-12-25,3,8.8,23,0.0,326,25.9,67.5,666.68,666.68
GK-10715,Mumbai,Navi Mumbai,2025-11-24,0,8.1,23,6.7,119,30.7,43.0,1278.29,1278.29
GK-11034,Chennai,Porur,2026-01-18,6,14.0,31,0.0,55,34.0,30.5,2153.29,2153.29
GK-10841,Chennai,Adyar,2025-11-19,2,13.8,26,18.2,141,32.8,62.9,677.28,677.28
GK-10114,Delhi,Karol Bagh,2026-03-11,2,6.4,11,2.5,165,41.7,37.9,457.95,457.95
GK-10553,Chennai,Velachery,2025-11-01,5,14.0,34,0.0,198,34.4,77.6,1593.81,1593.81
GK-11729,Chennai,Velachery,2026-01-15,3,14.0,26,0.0,87,24.5,37.6,1467.88,1467.88
GK-11650,Mumbai,Powai,2026-02-25,2,8.7,18,2.0,243,29.8,63.7,641.71,641.71
GK-11969,Delhi,Connaught Place,2025-10-04,5,12.2,23,0.0,155,43.6,42.3,1103.26,1103.26
GK-10044,Chennai,Tambaram,2026-03-13,4,12.5,27,0.0,102,34.3,30.7,1934.85,1934.85
GK-11021,Chennai,Adyar,2025-11-24,0,13.0,26,0.0,35,31.7,79.5,1009.19,1009.19
GK-11094,Chennai,Sholinganallur,2025-11-24,0,7.0,18,6.7,58,28.7,52.2,635.97,635.97
GK-10466,Chennai,Adyar,2026-03-22,6,11.1,31,0.0,184,36.3,56.3,2104.97,2104.97
GK-11755,Chennai,Guindy,2026-01-12,0,8.8,13,0.0,118,31.8,50.9,993.03,993.03
GK-11776,Chennai,Tambaram,2025-11-12,2,11.3,18,0.0,90,33.2,62.1,1139.32,1139.32
GK-10301,Chennai,Porur,2025-12-31,2,10.2,23,15.9,193,27.4,74.3,1478.36,1478.36
GK-10832,Chennai,Velachery,2026-03-04,2,12.0,28,0.0,120,36.1,58.2,1586.94,1586.94
GK-11463,Chennai,Sholinganallur,2025-11-09,6,8.7,25,0.0,99,32.4,75.8,950.78,950.78
GK-10240,Mumbai,Powai,2025-11-17,0,7.9,13,0.0,154,36.5,60.7,640.61,640.61
GK-11822,Chennai,Chromepet,2026-01-15,3,11.9,27,0.0,189,31.8,39.3,771.55,771.55
GK-10453,Chennai,Adyar,2026-03-06,4,10.6,23,0.0,59,31.1,55.1,870.31,870.31
GK-10994,Chennai,Velachery,2025-10-04,5,10.6,28,0.0,132,32.9,92.6,1392.39,1392.39
GK-10181,Chennai,Chromepet,2026-01-17,5,2.0,5,0.0,134,23.8,68.8,235.69,235.69
GK-10607,Chennai,Tambaram,2025-11-29,5,7.0,14,52.8,208,37.1,80.8,669.41,669.41
GK-11076,Delhi,Janakpuri,2025-10-25,5,14.0,34,0.0,20,25.4,44.4,2634.94,2634.94
GK-10209,Mumbai,Malad,2025-10-25,5,11.5,32,0.0,153,35.6,55.3,1609.12,1609.12
GK-11880,Chennai,Sholinganallur,2025-10-03,4,7.3,15,80.9,143,33.3,88.3,496.59,496.59
GK-11577,Chennai,Sholinganallur,2026-02-24,1,13.7,27,0.0,102,27.6,67.2,2097.79,2097.79
GK-10218,Mumbai,Dadar,2025-12-06,5,11.1,23,0.0,129,29.2,58.7,1616.17,1616.17
GK-11176,Chennai,Tambaram,2026-01-18,6,13.1,38,0.0,153,28.7,54.3,1440.8,1440.8
GK-11223,Chennai,Sholinganallur,2025-11-18,1,10.2,18,4.3,64,37.5,78.2,1376.39,1376.39
GK-11862,Delhi,Pitampura,2026-02-18,2,10.4,29,0.0,134,22.8,43.9,923.83,923.83
GK-11289,Chennai,Velachery,2025-12-21,6,6.4,14,0.7,179,24.2,88.5,1080.23,1080.23
GK-11076,Delhi,Janakpuri,2026-02-10,1,12.2,35,0.0,128,40.5,59.6,1933.66,1933.66
GK-10344,Chennai,Guindy,2025-11-19,2,11.8,20,0.0,165,30.7,67.7,1160.87,1160.87
GK-11865,Mumbai,Bandra,2025-10-21,1,10.0,21,0.0,69,30.7,53.2,1180.42,1180.42
GK-10084,Delhi,Karol Bagh,2026-02-06,4,11.4,27,0.0,173,24.4,67.5,1253.54,1253.54
GK-11574,Delhi,Dwarka,2026-02-03,1,12.5,20,0.0,184,40.0,62.0,1408.49,1408.49
GK-11922,Delhi,Pitampura,2025-12-02,1,6.4,10,0.0,323,26.6,39.3,636.69,636.69
GK-11954,Delhi,Karol Bagh,2025-10-02,3,12.9,30,0.0,84,44.4,45.3,1002.35,1002.35
GK-11480,Delhi,Connaught Place,2026-03-10,1,9.0,17,0.0,146,35.5,54.1,1082.47,1082.47
GK-11667,Delhi,Lajpat Nagar,2026-02-05,3,13.8,24,0.0,137,16.1,51.7,1928.13,1928.13
GK-10959,Delhi,Lajpat Nagar,2026-03-11,2,11.4,17,0.0,84,40.1,60.3,1336.05,1336.05
GK-11847,Chennai,Velachery,2026-03-13,4,13.2,27,0.0,67,37.9,44.9,2099.98,2099.98
GK-11896,Mumbai,Kurla,2026-01-05,0,12.4,33,0.0,165,28.1,64.4,1685.01,1685.01
GK-10141,Delhi,Rohini,2026-01-03,5,6.1,18,0.0,380,23.5,47.7,794.89,794.89
GK-11042,Chennai,Tambaram,2026-02-14,5,10.4,22,0.0,178,25.4,53.9,1429.03,1429.03
GK-11559,Delhi,Rohini,2025-12-12,4,9.9,19,0.0,289,28.9,35.7,1058.83,1058.83
GK-10021,Mumbai,Thane,2026-02-13,4,8.8,15,0.0,46,19.5,53.1,866.89,866.89
GK-10770,Chennai,Porur,2025-11-02,6,3.7,6,0.0,80,37.2,79.7,544.7,544.7
GK-11582,Delhi,Chandni Chowk,2026-01-16,4,5.9,9,0.0,327,33.8,34.5,379.83,379.83
GK-10416,Chennai,Anna Nagar,2026-01-24,5,6.6,18,0.0,131,30.9,32.8,1115.65,1115.65
GK-11550,Delhi,Nehru Place,2025-11-11,1,8.6,20,6.8,305,24.6,40.5,611.46,611.46
GK-11494,Delhi,Rohini,2025-10-14,1,10.3,16,0.0,198,28.7,47.6,1437.59,1437.59
GK-11177,Delhi,Rohini,2026-01-22,3,12.4,29,0.0,344,19.2,51.3,1349.04,1349.04
GK-10503,Mumbai,Malad,2026-01-20,1,8.8,23,0.0,118,28.3,39.9,621.79,621.79
GK-11341,Mumbai,Navi Mumbai,2025-10-29,2,8.6,19,0.0,105,25.6,68.5,635.92,635.92
GK-10888,Delhi,Dwarka,2025-10-10,4,6.5,9,0.0,117,43.7,62.7,553.38,553.38
GK-11856,Mumbai,Andheri,2026-01-09,4,9.9,23,0.0,91,24.1,56.3,1015.57,1015.57
GK-10369,Chennai,Sholinganallur,2026-01-06,1,7.5,18,0.0,60,27.9,50.5,876.9,876.9
GK-11275,Delhi,Nehru Place,2025-10-09,3,8.7,25,0.0,65,41.3,31.0,1198.35,1198.35
GK-11105,Delhi,Chandni Chowk,2026-01-20,1,5.1,10,0.0,230,28.9,51.2,600.59,600.59
GK-11428,Delhi,Nehru Place,2025-10-10,4,8.0,17,0.0,222,32.1,49.4,566.36,566.36
GK-11458,Chennai,Velachery,2026-01-12,0,11.0,28,0.0,54,25.2,30.6,804.95,804.95
GK-11055,Chennai,Anna Nagar,2025-11-23,6,7.5,20,0.0,29,35.9,51.8,1339.13,1339.13
GK-10724,Chennai,Anna Nagar,2026-01-29,3,11.5,22,0.0,86,26.5,53.7,1767.71,1767.71
GK-11777,Chennai,Adyar,2025-11-07,4,14.0,36,0.0,117,28.9,83.8,2395.3,2395.3
GK-10423,Delhi,Janakpuri,2025-10-02,3,9.3,15,0.0,86,35.0,32.9,1141.82,1141.82
GK-10731,Chennai,Guindy,2026-03-23,0,6.4,17,0.0,100,35.3,54.9,642.51,642.51
GK-11937,Delhi,Nehru Place,2025-10-16,3,8.9,18,2.1,74,23.4,41.5,1415.95,1415.95
GK-10762,Delhi,Nehru Place,2026-03-26,3,6.5,15,0.0,120,29.3,50.7,749.91,749.91
GK-10104,Mumbai,Bandra,2025-11-11,1,12.0,24,0.0,157,31.5,37.9,1388.35,1388.35
GK-11623,Delhi,Nehru Place,2025-10-22,2,6.7,14,0.0,141,38.1,59.8,303.22,303.22
GK-11283,Chennai,T. Nagar,2026-02-26,3,9.2,16,0.0,71,34.4,39.9,1359.91,1359.91
GK-10169,Chennai,Mylapore,2026-02-28,5,14.0,32,0.0,139,26.5,31.8,1795.94,1795.94
GK-11568,Chennai,Mylapore,2026-01-24,5,10.8,22,0.0,177,29.3,65.6,1137.71,1137.71
GK-10770,Chennai,Porur,2025-12-23,1,9.1,20,21.7,154,25.7,71.1,806.8,806.8
GK-10484,Mumbai,Bandra,2026-03-21,5,4.1,10,0.0,90,35.7,38.0,402.32,402.32
GK-11996,Chennai,Chromepet,2026-01-24,5,6.4,17,0.0,86,31.0,43.2,1038.59,1038.59
GK-11459,Chennai,Tambaram,2026-01-03,5,9.7,18,2.8,121,26.0,37.7,969.14,969.14
GK-11219,Chennai,Mylapore,2025-12-29,0,8.9,26,0.0,131,34.5,80.7,1166.5,1166.5
GK-11932,Delhi,Rohini,2026-02-17,1,9.4,17,0.0,132,33.7,54.3,1511.85,1511.85
GK-11069,Mumbai,Navi Mumbai,2025-11-13,3,7.5,13,0.0,143,26.0,56.0,1005.45,1005.45
GK-10559,Mumbai,Goregaon,2025-11-03,0,4.2,11,0.0,154,33.1,52.8,515.57,515.57
GK-10252,Mumbai,Borivali,2026-01-03,5,7.6,11,4.2,112,29.5,62.3,1321.22,1321.22
GK-11993,Delhi,Saket,2025-12-28,6,13.0,32,0.0,412,38.7,46.9,818.36,818.36
GK-10810,Mumbai,Dadar,2025-12-27,5,7.8,17,0.0,74,25.5,53.9,958.8,958.8
GK-11040,Mumbai,Borivali,2025-10-04,5,10.6,27,0.0,107,26.3,52.3,1273.88,1273.88
GK-10702,Mumbai,Kurla,2025-10-10,4,4.2,11,0.0,108,25.6,58.2,481.76,481.76
GK-11011,Mumbai,Goregaon,2026-02-08,6,10.6,21,0.0,123,27.0,62.7,1172.99,1172.99
GK-10271,Delhi,Dwarka,2025-11-08,5,6.4,17,0.0,418,30.1,43.9,719.73,719.73
GK-10433,Delhi,Rohini,2025-12-24,2,9.2,20,0.0,434,40.0,62.2,846.92,846.92
GK-11037,Mumbai,Goregaon,2025-12-13,5,12.9,22,0.0,96,25.8,62.6,2172.32,2172.32
GK-11259,Chennai,Anna Nagar,2026-03-01,6,9.6,21,0.0,136,36.7,47.5,1086.48,1086.48
GK-11183,Delhi,Pitampura,2025-11-11,1,11.9,22,7.0,380,39.0,37.4,1637.35,1637.35
GK-10637,Chennai,Anna Nagar,2026-02-28,5,6.3,10,0.0,155,22.3,48.0,918.87,918.87
GK-10689,Chennai,Guindy,2026-01-28,2,13.0,29,0.0,109,26.8,37.2,1038.19,1038.19
GK-11128,Mumbai,Bandra,2026-02-04,2,12.3,20,0.0,147,29.0,69.6,2121.17,2121.17
GK-10301,Chennai,Porur,2025-10-04,5,11.4,31,26.7,89,35.0,79.8,1534.61,1534.61
GK-10737,Mumbai,Navi Mumbai,2026-01-13,1,9.5,24,0.0,135,22.2,31.6,732.59,732.59
GK-11476,Mumbai,Thane,2025-11-19,2,8.4,19,0.0,49,30.8,47.0,1154.41,1154.41
GK-10085,Mumbai,Borivali,2026-03-10,1,6.7,11,0.0,144,29.4,64.9,823.79,823.79
GK-10123,Mumbai,Thane,2026-01-11,6,14.0,32,0.0,113,23.2,40.5,1591.12,1591.12
GK-10240,Mumbai,Powai,2025-11-28,4,4.8,13,0.0,215,36.2,66.6,418.84,418.84
GK-10451,Mumbai,Borivali,2026-01-26,0,8.4,23,0.0,98,29.6,50.8,871.78,871.78
GK-11209,Delhi,Rohini,2026-03-15,6,8.6,23,0.0,136,25.9,56.8,891.45,891.45
GK-11900,Mumbai,Borivali,2025-11-12,2,13.4,37,0.0,150,26.8,51.4,1358.25,1358.25
GK-11514,Chennai,Sholinganallur,2026-02-13,4,8.3,19,0.0,183,26.6,42.6,976.77,976.77
GK-11928,Mumbai,Andheri,2025-12-28,6,8.4,16,0.0,130,26.8,49.7,1159.74,1159.74
GK-10043,Mumbai,Dadar,2025-11-08,5,5.2,14,0.0,192,33.3,69.0,705.69,705.69
GK-10674,Chennai,Tambaram,2025-12-01,0,5.4,8,3.2,145,25.9,66.1,780.71,780.71
GK-11430,Chennai,Chromepet,2026-03-09,0,6.8,19,0.0,90,37.0,64.0,1011.13,1011.13
GK-10423,Delhi,Janakpuri,2026-03-24,1,5.5,13,0.0,105,40.9,44.6,593.79,593.79
GK-11546,Delhi,Dwarka,2025-12-27,5,12.3,34,0.0,201,19.0,42.8,958.21,958.21
GK-11308,Chennai,Chromepet,2026-03-13,4,6.0,15,0.0,79,36.6,61.7,645.25,645.25
GK-10482,Delhi,Connaught Place,2025-12-06,5,12.8,24,1.1,328,30.0,46.8,2117.16,2117.16
GK-11481,Delhi,Dwarka,2026-03-09,0,12.7,26,0.0,120,41.7,51.7,1433.4,1433.4
GK-10682,Mumbai,Andheri,2026-03-29,6,9.9,21,0.0,149,29.0,41.2,1030.86,1030.86
GK-11689,Delhi,Dwarka,2026-02-09,0,11.2,32,0.0,83,24.4,46.0,1374.35,1374.35
GK-10893,Chennai,Velachery,2025-12-25,3,7.8,12,17.9,63,21.2,66.1,726.87,726.87
GK-11458,Chennai,Velachery,2025-10-23,3,13.4,21,1.1,113,30.4,72.1,894.78,894.78
GK-11702,Chennai,Tambaram,2026-01-09,4,4.1,10,0.0,156,26.3,43.6,571.82,571.82
GK-10672,Delhi,Dwarka,2026-03-21,5,6.7,10,0.0,82,42.1,61.4,763.42,763.42
GK-10439,Mumbai,Powai,2026-03-05,3,6.1,9,0.0,92,36.2,33.6,991.64,991.64
GK-10325,Delhi,Karol Bagh,2025-11-25,1,9.3,21,0.0,377,29.0,63.9,996.72,996.72
GK-11174,Delhi,Karol Bagh,2026-02-24,1,14.0,27,0.0,148,42.0,69.8,1608.37,1608.37
GK-11414,Delhi,Saket,2026-01-15,3,7.3,18,0.0,417,33.9,50.3,630.12,630.12
GK-10232,Delhi,Janakpuri,2026-03-25,2,12.3,32,0.0,76,24.4,45.4,1256.37,1256.37
GK-11776,Chennai,Tambaram,2025-12-14,6,11.7,31,0.0,162,24.3,81.0,1402.33,1402.33
GK-11781,Mumbai,Dadar,2025-12-28,6,11.9,32,0.0,54,30.3,33.2,1733.62,1733.62
GK-10650,Chennai,Velachery,2025-11-19,2,13.2,30,31.1,90,37.6,82.6,1251.41,1251.41
GK-10329,Chennai,Velachery,2026-02-10,1,9.9,20,0.0,161,29.9,33.1,1532.91,1532.91
GK-10531,Chennai,Sholinganallur,2025-12-12,4,6.5,15,0.0,132,29.4,83.2,832.87,832.87
GK-10700,Chennai,Sholinganallur,2026-01-20,1,8.9,14,0.0,94,25.6,41.3,1009.94,1009.94
GK-11130,Delhi,Chandni Chowk,2025-11-04,1,10.7,30,0.0,293,42.0,41.0,1242.91,1242.91
GK-10862,Mumbai,Powai,2025-10-28,1,7.4,21,0.0,106,33.7,38.9,338.17,338.17
GK-11125,Delhi,Lajpat Nagar,2026-01-28,2,11.9,21,0.0,370,15.7,46.4,1414.22,1414.22
GK-10314,Mumbai,Borivali,2025-10-14,1,7.1,19,0.0,128,26.5,67.5,585.13,585.13
GK-11748,Chennai,Adyar,2025-11-03,0,5.2,13,7.3,130,33.7,59.8,914.51,914.51
GK-10443,Delhi,Saket,2026-02-27,4,14.0,32,0.0,134,34.3,54.2,1761.85,1761.85
GK-11726,Chennai,T. Nagar,2026-03-07,5,13.2,30,0.0,96,34.2,66.7,1335.71,1335.71
GK-11809,Delhi,Pitampura,2025-10-23,3,7.5,17,0.0,219,28.0,53.1,1064.96,1064.96
GK-10881,Mumbai,Navi Mumbai,2025-11-22,5,6.3,15,0.0,221,25.7,66.6,1406.99,1406.99
GK-10086,Chennai,Anna Nagar,2025-11-30,6,8.6,14,0.0,222,36.8,72.1,918.41,918.41
GK-10680,Chennai,Guindy,2026-03-07,5,8.8,19,0.0,192,28.5,45.8,1376.81,1376.81
GK-10474,Mumbai,Borivali,2025-10-19,6,14.0,27,0.0,97,31.8,35.0,2060.05,2060.05
GK-10705,Delhi,Rohini,2026-01-14,2,11.2,21,0.0,287,38.2,41.7,1594.53,1594.53
GK-11657,Delhi,Pitampura,2025-11-17,0,14.0,32,11.6,284,41.1,38.6,1665.61,1665.61
GK-10845,Delhi,Pitampura,2025-10-05,6,12.4,22,0.0,184,36.7,50.8,1765.85,1765.85
GK-10976,Delhi,Lajpat Nagar,2026-03-23,0,6.1,14,0.0,197,35.2,39.9,699.25,699.25
GK-10200,Mumbai,Navi Mumbai,2025-11-16,6,6.5,15,0.0,95,34.3,68.3,1065.73,1065.73
GK-10873,Delhi,Connaught Place,2026-03-04,2,10.1,18,0.0,147,27.6,69.1,1670.94,1670.94
GK-11915,Delhi,Connaught Place,2026-02-13,4,8.3,24,0.0,39,25.1,35.6,969.0,969.0
GK-10588,Delhi,Karol Bagh,2026-03-09,0,11.6,25,0.0,176,36.2,39.6,1426.69,1426.69
GK-11446,Delhi,Connaught Place,2026-01-07,2,5.2,10,0.0,244,34.1,54.1,496.73,496.73
GK-11634,Delhi,Saket,2025-10-26,6,10.1,20,0.0,163,28.5,30.2,1342.85,1342.85
GK-11741,Mumbai,Navi Mumbai,2025-11-22,5,5.6,10,0.0,221,25.7,66.6,766.11,766.11
GK-11756,Delhi,Chandni Chowk,2025-10-06,0,12.6,35,0.0,152,37.7,58.3,1439.89,1439.89
GK-11476,Mumbai,Thane,2026-01-08,3,5.9,12,0.0,240,32.5,43.8,724.65,724.65
GK-11214,Mumbai,Powai,2025-11-30,6,7.6,20,0.0,78,27.4,46.3,773.61,773.61
GK-10916,Chennai,T. Nagar,2025-10-05,6,7.4,11,8.7,97,37.2,79.5,840.18,840.18
GK-11170,Delhi,Chandni Chowk,2025-11-03,0,13.5,30,0.0,377,34.4,47.8,784.13,784.13
GK-11875,Delhi,Pitampura,2026-03-28,5,8.3,22,0.0,120,25.9,59.1,865.34,865.34
GK-10063,Mumbai,Kurla,2026-01-09,4,10.2,23,0.0,173,29.6,36.0,966.71,966.71
GK-10332,Chennai,Chromepet,2026-01-17,5,14.0,22,0.0,134,23.8,68.8,1824.11,1824.11
GK-11659,Chennai,Tambaram,2026-02-14,5,9.8,15,0.0,178,25.4,53.9,1651.73,1651.73
GK-10203,Chennai,Chromepet,2025-10-03,4,10.5,19,55.3,145,35.1,81.0,786.14,786.14
GK-11367,Delhi,Lajpat Nagar,2025-12-11,3,4.9,13,0.0,406,16.0,47.4,364.26,364.26
GK-10131,Mumbai,Bandra,2026-03-17,1,8.3,14,0.0,142,30.6,66.9,1174.03,1174.03
GK-10804,Mumbai,Malad,2025-10-08,2,5.1,13,0.0,137,34.1,35.1,648.11,648.11
GK-11575,Delhi,Janakpuri,2026-02-02,0,4.7,12,0.0,122,30.0,55.9,489.21,489.21
GK-11424,Delhi,Rohini,2025-12-30,1,10.1,17,0.0,310,22.3,53.7,1095.73,1095.73
GK-11195,Chennai,T. Nagar,2025-10-20,0,6.9,12,9.0,87,36.9,92.0,1181.38,1181.38
GK-10217,Delhi,Pitampura,2026-01-29,3,12.5,22,0.0,369,27.0,68.5,1836.03,1836.03
GK-10573,Mumbai,Dadar,2026-03-21,5,6.1,16,0.0,158,27.1,49.1,1066.41,1066.41
GK-10905,Chennai,Anna Nagar,2026-02-13,4,14.0,25,0.0,128,27.6,43.3,1726.05,1726.05
GK-11997,Chennai,Velachery,2025-12-18,3,12.5,29,28.9,95,23.6,91.9,1191.47,1191.47
GK-11156,Mumbai,Malad,2026-03-08,6,11.6,33,0.0,143,25.8,60.4,1017.04,1017.04
GK-10137,Mumbai,Navi Mumbai,2026-01-25,6,5.3,11,13.6,115,27.7,32.3,731.31,731.31
GK-11156,Mumbai,Malad,2026-01-16,4,7.8,18,4.1,207,31.1,63.2,503.31,503.31
GK-10645,Chennai,Velachery,2025-12-12,4,13.3,27,41.7,20,33.3,63.9,1092.15,1092.15
GK-10154,Delhi,Lajpat Nagar,2026-02-05,3,8.8,16,0.0,137,16.1,51.7,665.26,665.26
GK-10888,Delhi,Dwarka,2026-03-06,4,8.5,17,0.0,107,38.6,62.7,870.61,870.61
GK-10984,Delhi,Nehru Place,2025-12-03,2,8.2,18,0.0,376,27.2,51.4,828.61,828.61
GK-11766,Chennai,Guindy,2025-11-06,3,8.7,25,0.0,158,34.2,74.6,853.68,853.68
GK-10414,Delhi,Nehru Place,2026-02-01,6,4.5,10,0.0,174,30.7,43.1,573.19,573.19
GK-11313,Chennai,Guindy,2025-12-24,2,11.2,30,16.5,119,26.3,82.1,1539.79,1539.79
GK-10821,Chennai,Sholinganallur,2026-02-13,4,10.9,30,0.0,183,26.6,42.6,1015.17,1015.17
GK-11754,Mumbai,Borivali,2025-11-07,4,12.5,21,0.0,113,35.3,59.8,1453.84,1453.84
GK-10585,Mumbai,Dadar,2025-10-07,1,5.8,17,0.0,104,34.4,63.2,492.66,492.66
GK-11193,Mumbai,Kurla,2026-01-09,4,6.8,17,0.0,173,29.6,36.0,798.57,798.57
GK-10325,Delhi,Karol Bagh,2026-02-15,6,8.8,17,0.0,77,21.5,45.1,1337.45,1337.45
GK-10392,Chennai,Guindy,2025-12-06,5,11.5,17,3.2,102,27.5,56.3,1848.1,1848.1
GK-11239,Chennai,Mylapore,2025-10-18,5,11.0,22,0.0,64,32.0,71.7,1101.38,1101.38
GK-10137,Mumbai,Navi Mumbai,2026-01-28,2,8.6,14,0.0,157,24.9,48.8,1003.24,1003.24
GK-11626,Mumbai,Borivali,2026-01-29,3,4.9,11,0.0,138,19.4,37.4,551.9,551.9
GK-10370,Delhi,Lajpat Nagar,2025-12-28,6,14.0,25,4.7,420,19.0,60.9,1631.58,1631.58
GK-10521,Delhi,Lajpat Nagar,2025-11-06,3,9.4,14,0.0,411,40.7,67.4,1229.63,1229.63
GK-11820,Chennai,Mylapore,2025-10-09,3,10.9,24,0.0,144,34.6,87.3,1533.11,1533.11
GK-11174,Delhi,Karol Bagh,2026-03-11,2,13.3,33,2.5,165,41.7,37.9,1785.22,1785.22
GK-10596,Mumbai,Borivali,2025-12-03,2,8.5,14,0.0,169,21.6,65.9,818.77,818.77
GK-11251,Mumbai,Kurla,2025-11-10,0,13.1,38,7.0,116,27.0,57.7,2031.24,2031.24
GK-11696,Delhi,Nehru Place,2026-01-19,0,11.7,31,5.3,235,22.1,63.3,1143.56,1143.56
GK-10686,Delhi,Karol Bagh,2025-12-05,4,10.0,20,0.0,324,27.3,45.7,1301.23,1301.23
GK-11380,Mumbai,Bandra,2026-02-25,2,10.9,20,0.0,143,23.6,49.4,1096.16,1096.16
GK-11444,Chennai,Anna Nagar,2025-10-24,4,8.3,19,26.3,54,28.0,83.8,712.15,712.15
GK-10462,Delhi,Rohini,2026-01-02,4,7.2,17,0.0,456,25.5,46.9,948.55,948.55
GK-10157,Delhi,Pitampura,2026-01-16,4,12.2,34,0.0,421,37.4,31.9,812.34,812.34
GK-11491,Mumbai,Navi Mumbai,2026-02-11,2,13.0,22,0.0,84,30.9,46.4,1454.67,1454.67
GK-11914,Chennai,Mylapore,2025-10-12,6,14.0,40,0.0,154,37.0,56.7,2022.28,2022.28
GK-10233,Delhi,Lajpat Nagar,2026-03-27,4,14.0,24,0.0,20,44.8,64.3,1467.38,1467.38
GK-11907,Mumbai,Andheri,2026-02-02,0,14.0,22,0.0,100,33.4,53.8,1861.16,1861.16
GK-11845,Delhi,Pitampura,2026-02-22,6,8.2,18,0.0,180,18.4,46.6,853.53,853.53
GK-10906,Chennai,Anna Nagar,2025-11-11,1,10.5,18,0.0,156,30.6,61.0,1730.29,1730.29
